226Ra,IA,232Th,Raeq,Theq,Keq,IG,IB,40K
0.87510467,0.7508749,0.32334915,0.4144962,0.45403907,0.33842412,0.45595777,0.42152098,0.14481664
-0.34993878,-0.7825633,-0.008207398,-0.19409424,-0.18697076,-0.17462622,-0.1754543,-0.2087066,-0.29994738
-0.060731266,-0.6024361,-0.3015976,-0.19928135,-0.18551295,-0.21674675,-0.15297626,-0.17129007,0.24090484
-0.25009248,-0.7260716,-0.0050733625,-0.014712918,-0.0094175385,-0.03300405,0.01038521,-0.0048740287,0.8427615
0.21371827,-0.34733036,-0.068105094,-0.019351,-0.016655587,-0.0040088026,-0.027683444,-0.013343629,0.1768906
-0.25021407,-0.7393367,0.09019337,-0.09404136,-0.08376762,-0.04500353,-0.060522135,-0.09629561,-0.13619505
0.37068895,-0.1549809,0.05512454,0.09662188,0.098026514,0.010259728,0.092367925,0.105429046,0.39406338
0.3246915,-0.2194976,0.16182391,0.17151634,0.17134346,0.16457444,0.16990057,0.1683097,0.006253545
0.38876644,-0.13586642,0.2743579,0.24899493,0.24950576,0.25147173,0.25553286,0.25597423,0.5885837
0.26489228,-0.29110995,0.016435431,0.07968784,0.08833521,0.051095936,0.102734305,0.09906107,0.9399152
-0.021816546,-0.57989764,-0.3862358,-0.19759409,-0.18445332,-0.13162191,-0.13733009,-0.15609956,0.2781581
0.17891504,-0.38844672,-0.23267522,-0.2706399,-0.2383607,-0.23421343,-0.19725527,-0.25570276,-0.6859621
0.0449099,-0.51842785,0.11345779,0.05648248,0.073194794,0.055867366,0.08414362,0.057863936,0.34283423
0.4124837,-0.11324245,0.042695377,0.12278062,0.12860578,0.05287829,0.13043408,0.13415116,0.79657644
0.34045714,-0.18899016,-0.10500275,-0.10182297,-0.11638525,-0.12070655,-0.16762821,-0.11806902,-0.77772874
0.3829655,-0.17752442,0.06194544,0.14899123,0.16106264,0.056233134,0.16685325,0.16056131,0.8943728
-0.27330747,-0.75516415,-0.36004502,-0.43927342,-0.43636218,-0.47652748,-0.44939372,-0.44906712,-0.6967272
0.03907109,-0.5171086,-0.19409782,-0.1573344,-0.15204753,-0.19013393,-0.12572756,-0.13570301,0.04400259
0.21227232,-0.34752285,0.22086887,0.1785481,0.18346602,0.19859697,0.16348289,0.1597514,0.01575521
-0.11866984,-0.6499951,0.09867789,0.05415864,0.04668058,0.0454673,0.036752913,0.0414416,0.20206958
0.487866,0.001775099,0.31034365,0.19956468,0.21614884,0.27319708,0.2447324,0.2080944,-0.11370389
0.031823583,-0.52760124,0.0042435494,0.029234886,0.0155039765,0.04220003,0.038476676,0.0502168,0.7830086
0.3092163,-0.23675679,0.10462314,0.11266127,0.12701254,0.1261999,0.13204211,0.11605944,0.62176263
0.38831097,-0.1411445,-0.10699438,-0.06472654,-0.07691798,-0.05804615,-0.06558783,-0.06626845,-0.66759104
0.19140176,-0.37078238,0.16125928,0.066884756,0.0784205,0.2005953,0.084889375,0.062396966,-0.22419229
-0.17065494,-0.6915826,0.08872406,-0.022545967,-0.031766318,0.012175836,-0.023409452,-0.02205354,0.05919457
0.23749585,-0.33153027,0.120632306,0.10665921,0.10461104,0.08011567,0.0980877,0.108892635,0.6467551
0.3078016,-0.23527566,-0.21513441,-0.21866903,-0.2209653,-0.22318001,-0.25904167,-0.23104694,-0.8588872
-0.28512114,-0.7550613,-0.3257509,-0.41473404,-0.41748238,-0.41278788,-0.41461173,-0.41107646,-0.61865985
0.18616238,-0.3730176,-0.21360001,-0.22739077,-0.21773116,-0.20970325,-0.2263306,-0.22342803,-0.5409107
0.33455598,-0.216131,-0.05016083,0.031843,0.023058992,0.03571375,0.015932769,0.04563554,0.35547143
0.5160405,0.058726862,0.124442585,0.20628601,0.206572,0.08609355,0.18315452,0.20332985,0.50101167
0.34592193,-0.18947431,-0.09936046,-0.0043885675,0.009383233,0.08614019,-0.009963083,0.0012628103,0.30175793
-0.09716311,-0.6216365,0.16506515,0.024767473,0.019731201,0.090152584,0.040178917,0.022103144,-0.23436126
0.16460064,-0.3628996,-0.24552314,-0.24760346,-0.2562997,-0.21765551,-0.2646773,-0.25013775,-0.43938965
0.36434126,-0.1634368,-0.12982573,-0.10111837,-0.112876095,-0.09498823,-0.13431065,-0.10599806,-0.85812914
0.13937235,-0.43746367,-0.06816176,-0.058707878,-0.054249685,-0.01300901,-0.019527407,-0.035021044,0.005619076
0.44107908,-0.03201712,-0.056513358,-0.036842573,-0.03926925,0.0015326261,-0.053091966,-0.05780715,-0.88748604
0.32509866,-0.20476246,-0.17675593,-0.15176448,-0.15610513,-0.14800848,-0.19458525,-0.16662809,-0.78983474
0.1875776,-0.37318408,0.16158874,0.11724996,0.112251975,0.17247808,0.09989612,0.10457521,-0.23718002
0.9897021,0.98640317,0.8264164,0.8321611,0.84225976,0.8532361,0.843634,0.83297694,-0.13645814
0.24627604,-0.30622306,0.2818587,0.28907055,0.2764155,0.28144988,0.29194582,0.29806113,0.41596738
-0.36336294,-0.795138,-0.1257326,-0.07988902,-0.08081288,-0.13914016,-0.057950456,-0.068444386,0.8295777
-0.28227517,-0.75305575,-0.05776389,-0.03861371,-0.053240784,-0.09368351,-0.046173513,-0.03237825,0.75089306
0.472982,-0.013947641,0.10334281,0.18273114,0.17676406,0.070745304,0.18513185,0.19779772,0.56848323
0.3814587,-0.12708192,0.10739473,0.09294734,0.088046245,0.1716915,0.054712668,0.07768331,-0.43654326
0.46601653,-0.020132786,0.20342663,0.2335767,0.22867893,0.16455339,0.23249654,0.24147432,0.57164824
0.19572832,-0.3649795,-0.20204157,-0.13055861,-0.12500627,-0.12217538,-0.13685463,-0.128148,-0.23928629
0.43970177,-0.07560728,0.06259383,0.1428117,0.15175118,0.041832667,0.13623299,0.14294177,0.34981847
-0.14355049,-0.6604295,0.009982441,-0.07986954,-0.07354986,-0.10361878,-0.044755116,-0.06957297,0.13415821
0.07962768,-0.47871834,-0.025610948,0.053383015,0.0707342,0.014231509,0.10942939,0.08159701,0.96739155
-0.2747787,-0.7457564,0.07101737,0.011781197,0.0079815835,0.074361935,-0.0015409994,-0.0046975557,0.20603219
0.4043273,-0.107772484,0.13449153,0.16446532,0.15841381,0.121820904,0.15891594,0.17294915,0.55209005
0.0150704,-0.55354905,-0.14663792,-0.091372095,-0.08675025,-0.034704644,-0.07117822,-0.07204034,0.24200663
0.32045865,-0.21835639,-0.1937935,-0.2029788,-0.20085827,-0.19629622,-0.25092575,-0.22411089,-0.8783523
0.3692667,-0.16941904,0.26831007,0.28190076,0.27188942,0.28171167,0.26935393,0.2793005,0.1684086
-0.23867181,-0.71211123,0.10883781,-0.029312827,-0.030082619,0.009698368,-0.014688819,-0.036075514,-0.13362023
-0.65001166,-0.9213524,-0.24858284,-0.22619449,-0.21357591,-0.16357183,-0.16544668,-0.21280788,0.5221705
0.166651,-0.38460502,0.21031071,0.09497128,0.10415058,0.22121873,0.059390355,0.06445075,-0.29970783
-0.40746567,-0.8281595,-0.1775216,-0.11998744,-0.12303379,-0.16365322,-0.10338227,-0.11608939,0.46060684
0.2812884,-0.27613732,0.32668552,0.2822124,0.28089064,0.3010394,0.28887957,0.28333884,0.51408815
0.29597116,-0.25755164,-0.021518096,0.04663521,0.043229718,0.014100434,0.0568975,0.0645951,0.7766056
0.108796254,-0.45662025,-0.21190333,-0.21229148,-0.20716046,-0.22273861,-0.1908912,-0.19489148,-0.28438282
0.42613807,-0.07013581,0.01178041,0.10348665,0.10997083,0.094708726,0.111036606,0.11879511,0.56420517
-0.08496226,-0.6199378,-0.010725332,-0.13908242,-0.13783062,-0.09727223,-0.10049575,-0.123443715,-0.28196955
-0.12613891,-0.64908636,0.12895419,-0.00050538307,-0.00040591366,0.07338548,0.021861136,-0.005319805,-0.20796812
-0.6863764,-0.9286933,-0.2139521,-0.19487335,-0.19909033,-0.20254757,-0.16631137,-0.18759535,0.60511136
0.32195717,-0.21547437,-0.13872445,-0.15131338,-0.16075785,-0.16280235,-0.19312353,-0.1648382,-0.8685332
-0.114684574,-0.64359105,-0.105644785,-0.16296135,-0.167599,-0.17644681,-0.14733319,-0.14991894,-0.04854837
0.09891761,-0.4527933,-0.06283328,-0.09217772,-0.093676455,-0.054932322,-0.06897837,-0.075790375,-0.028206453
0.23208694,-0.35662588,-0.07401805,-0.0077969222,-0.005105599,-0.07649869,-0.012652835,-0.0006285151,0.13717015
-0.025487565,-0.5759595,0.20734419,0.06124279,0.066384256,0.15704392,0.069384135,0.04610777,-0.24356715
-0.36403877,-0.806614,0.006086893,-0.124661595,-0.125134,-0.1273536,-0.11576938,-0.14089257,-0.27822903
0.43946424,-0.06583889,0.03987372,0.09997288,0.099024445,0.024594732,0.09386123,0.10989679,0.4395323
0.5006318,0.03581224,0.057315968,0.13394737,0.14133641,0.055721533,0.1322322,0.14023285,0.5372267
0.52346957,0.06281868,0.105259314,0.19954126,0.19393459,0.087845005,0.20031317,0.21169701,0.6805022
-0.3130854,-0.77839905,0.024018146,-0.15907268,-0.15709767,-0.12077581,-0.13948505,-0.1670109,-0.36675772
0.079919554,-0.4800842,-0.06718713,-0.12295264,-0.12265333,-0.11383075,-0.09763774,-0.10663422,-0.26144022
0.21450742,-0.3574235,-0.025529208,0.0024751197,0.004133202,-0.074164234,0.0034923218,0.009276363,0.17851079
0.19046217,-0.3616329,0.21009232,0.14613639,0.15427664,0.20748322,0.14179686,0.13172498,0.041496422
0.08345558,-0.46676695,-0.14789747,-0.12299305,-0.10748589,-0.05589181,-0.02918003,-0.0765445,0.07557691
0.3064232,-0.28263488,0.06692916,0.111334644,0.108386606,0.06080284,0.10124935,0.10573658,0.26712322
0.3873575,-0.12631026,0.21132334,0.23656861,0.22129011,0.19782321,0.22977395,0.2465661,0.5040078
0.24961723,-0.29328033,-0.087876566,-0.022208596,-0.017242182,-0.019832226,-0.021761889,-0.014679673,0.19875754
0.44361046,-0.039360963,-0.09384475,-0.051255923,-0.051864278,-0.010600992,-0.061529785,-0.058388814,-0.8652586
0.36484537,-0.17688222,0.04696743,0.12422377,0.14545973,0.10229002,0.15819077,0.1396428,0.7384308
-0.29645112,-0.7618495,0.043460254,-0.13227212,-0.13222294,-0.12083463,-0.12886493,-0.14933942,-0.4206939
-0.4376342,-0.8378955,-0.055887558,-0.22229902,-0.20264597,-0.19271274,-0.14054614,-0.21043316,-0.24939972
0.42565677,-0.09227477,-0.002578424,0.07578346,0.075491816,0.023710476,0.06414985,0.08366984,0.37639448
0.23202404,-0.32386494,0.09291388,0.08903655,0.100948855,0.088483,0.08539217,0.08272651,0.22886708
0.2778185,-0.26554176,0.20614623,0.14204185,0.155587,0.21802187,0.12674937,0.12035474,-0.23759274
0.3524293,-0.20135863,-0.02266871,0.068230405,0.08919009,-0.015496789,0.09612863,0.07727294,0.8079863
